,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,genre
38,0.55,0.489,4,-15.125,0,0.0826,0.893,0.322,0.354,0.938,116.581,audio_features,1aFJAsyGFYosxdcdpEIIOY,spotify:track:1aFJAsyGFYosxdcdpEIIOY,https://api.spotify.com/v1/tracks/1aFJAsyGFYosxdcdpEIIOY,https://api.spotify.com/v1/audio-analysis/1aFJAsyGFYosxdcdpEIIOY,235707,4,Bridge Céilí Band,All Ireland Céilí Bands
39,0.504,0.574,7,-10.211,1,0.0425,0.586,1e-05,0.356,0.988,128.911,audio_features,7vVKoTGDyF5zwgu5ko6jIZ,spotify:track:7vVKoTGDyF5zwgu5ko6jIZ,https://api.spotify.com/v1/tracks/7vVKoTGDyF5zwgu5ko6jIZ,https://api.spotify.com/v1/audio-analysis/7vVKoTGDyF5zwgu5ko6jIZ,185133,4,Bridge Céilí Band,All Ireland Céilí Bands
40,0.587,0.464,2,-12.798,1,0.0643,0.909,0.00256,0.163,0.98,121.652,audio_features,3T19uhzemQvJfDd8qroQgl,spotify:track:3T19uhzemQvJfDd8qroQgl,https://api.spotify.com/v1/tracks/3T19uhzemQvJfDd8qroQgl,https://api.spotify.com/v1/audio-analysis/3T19uhzemQvJfDd8qroQgl,193507,4,Bridge Céilí Band,All Ireland Céilí Bands
41,0.577,0.702,7,-7.755,1,0.0533,0.767,0.0778,0.144,0.964,116.412,audio_features,2nSEvr9Dvn2nctXEnAKkpJ,spotify:track:2nSEvr9Dvn2nctXEnAKkpJ,https://api.spotify.com/v1/tracks/2nSEvr9Dvn2nctXEnAKkpJ,https://api.spotify.com/v1/audio-analysis/2nSEvr9Dvn2nctXEnAKkpJ,213291,4,Blackwater Céilí Band,All Ireland Céilí Bands
42,0.648,0.58,4,-8.148,0,0.0459,0.826,0.0145,0.3,0.973,122.928,audio_features,0DP1mFJBjpwjmbWUcFzviN,spotify:track:0DP1mFJBjpwjmbWUcFzviN,https://api.spotify.com/v1/tracks/0DP1mFJBjpwjmbWUcFzviN,https://api.spotify.com/v1/audio-analysis/0DP1mFJBjpwjmbWUcFzviN,193461,4,Blackwater Céilí Band,All Ireland Céilí Bands
43,0.756,0.604,7,-6.941,1,0.052,0.663,0.0119,0.076,0.984,119.049,audio_features,45yRhi2mmgNbTzI3kLnH93,spotify:track:45yRhi2mmgNbTzI3kLnH93,https://api.spotify.com/v1/tracks/45yRhi2mmgNbTzI3kLnH93,https://api.spotify.com/v1/audio-analysis/45yRhi2mmgNbTzI3kLnH93,136985,5,Blackwater Céilí Band,All Ireland Céilí Bands
44,0.417,0.373,4,-10.146,1,0.0259,0.838,1.81e-05,0.0889,0.442,151.907,audio_features,6gMl8KroiQt4cGrrwNWmHk,spotify:track:6gMl8KroiQt4cGrrwNWmHk,https://api.spotify.com/v1/tracks/6gMl8KroiQt4cGrrwNWmHk,https://api.spotify.com/v1/audio-analysis/6gMl8KroiQt4cGrrwNWmHk,256256,3,Blackwater Céilí Band,All Ireland Céilí Bands
45,0.608,0.728,7,-6.587,1,0.0464,0.867,0.00367,0.311,0.968,117.554,audio_features,6ljLfVvqx2qLHmXDQ0uRVQ,spotify:track:6ljLfVvqx2qLHmXDQ0uRVQ,https://api.spotify.com/v1/tracks/6ljLfVvqx2qLHmXDQ0uRVQ,https://api.spotify.com/v1/audio-analysis/6ljLfVvqx2qLHmXDQ0uRVQ,203545,4,Blackwater Céilí Band,All Ireland Céilí Bands
46,0.527,0.565,0,-7.711,1,0.0537,0.884,0.00118,0.158,0.977,158.978,audio_features,4uBmMV0Edh3Y2cb6DspBb1,spotify:track:4uBmMV0Edh3Y2cb6DspBb1,https://api.spotify.com/v1/tracks/4uBmMV0Edh3Y2cb6DspBb1,https://api.spotify.com/v1/audio-analysis/4uBmMV0Edh3Y2cb6DspBb1,202762,4,Blackwater Céilí Band,All Ireland Céilí Bands
47,0.798,0.598,7,-7.6,1,0.0518,0.671,0.00549,0.101,0.99,117.01,audio_features,2lyeLJds54dpzNwPAwEHZV,spotify:track:2lyeLJds54dpzNwPAwEHZV,https://api.spotify.com/v1/tracks/2lyeLJds54dpzNwPAwEHZV,https://api.spotify.com/v1/audio-analysis/2lyeLJds54dpzNwPAwEHZV,138077,4,Blackwater Céilí Band,All Ireland Céilí Bands
